market,market_id,exchange,asset,symbol,maturity,date,samples,impliedApr,markApr,ammImpliedApr,latestSettlementApr,settlementApr,realizedDailyApr,realizedForwardApr,forwardDaysUsed,dailyBasisApr,forwardBasisApr
50-HYPERLIQUID-BTC-27FEB2026,50,Hyperliquid,BTC,BTC,2026-02-27,2026-02-18,24,0.0586015230471126,0.0586245367348942,0.05846403490457039,0.0673439235,0.063457732,0.063457732,0.04467653654999992,10,-0.004856208952887402,0.013924986497112678
50-HYPERLIQUID-BTC-27FEB2026,50,Hyperliquid,BTC,BTC,2026-02-27,2026-02-19,24,0.062130220542846774,0.062187250561505036,0.06210272291433833,0.08630614800000001,0.0901923395,0.0901923395,0.04258973705555667,9,-0.028062118957153222,0.0195404834872901
50-HYPERLIQUID-BTC-27FEB2026,50,Hyperliquid,BTC,BTC,2026-02-27,2026-02-20,24,0.07180253575430216,0.0718371852598834,0.07173124003504232,0.08634148000000001,0.08336165649999999,0.08336165649999999,0.03663941175000218,8,-0.011559120745697829,0.03516312400429998
50-HYPERLIQUID-BTC-27FEB2026,50,Hyperliquid,BTC,BTC,2026-02-27,2026-02-21,24,0.06300354964706845,0.06302470029543308,0.06287196011556707,-0.013262165499999999,-0.019277329,-0.019277329,0.02996480535714698,7,0.08228087864706844,0.03303874428992147
50-HYPERLIQUID-BTC-27FEB2026,50,Hyperliquid,BTC,BTC,2026-02-27,2026-02-22,24,0.05760771111049905,0.057521673804545294,0.0576033289577653,0.008836905499999999,0.012688203,0.012688203,0.038171827750005605,6,0.04491950811049905,0.01943588336049345
50-HYPERLIQUID-BTC-27FEB2026,50,Hyperliquid,BTC,BTC,2026-02-27,2026-02-23,24,0.04739946685233368,0.04680335200504998,0.05405286258683323,0.0302967155,0.035440405,0.035440405,0.043268552700004646,5,0.011959061852333676,0.004130914152329031
50-HYPERLIQUID-BTC-27FEB2026,50,Hyperliquid,BTC,BTC,2026-02-27,2026-02-24,24,0.05652522950682079,0.05647149532927831,0.05903401775955858,0.075287236,0.065769496,0.065769496,0.045225589625005114,4,-0.009244266493179207,0.011299639881815676
50-HYPERLIQUID-BTC-27FEB2026,50,Hyperliquid,BTC,BTC,2026-02-27,2026-02-25,24,0.05153219213595404,0.05173933042605219,0.05715221720331107,0.017062618499999998,0.018420199499999998,0.018420199499999998,0.038377620833339655,3,0.03311199263595404,0.013154571302614382
50-HYPERLIQUID-BTC-27FEB2026,50,Hyperliquid,BTC,BTC,2026-02-27,2026-02-26,24,0.04434172301532926,0.044158344431828735,0.061065942852790954,0.044297495,0.052457654,0.052457654,0.048356331500002625,2,-0.008115930984670741,-0.004014608484673367
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-01-26,14,0.11404473756187601,0.11404473756187601,,0.14991569914285716,0.14722131919999998,0.1715841275,0.07633394871212078,33,-0.05753938993812398,0.037710788849755233
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-01-27,24,0.1139852367412788,0.11404473756187601,0.11400000000000002,0.11087510099999999,0.11087510099999999,0.11087510099999999,0.07335738062499964,32,0.003110135741278816,0.04062785611627917
